Russian,English
похоже,Seems like
место,place
знать,know
отлично,Great
домой,home
всем,to everyone
деньги,money
иди,go
прости,forgive me
доктор,doctor
думал,thought
времени,time
дома,Houses
делаешь,are you doing
именно,exactly
говорил,spoke
слушай,Listen
прямо,directly
поговорить,talk
будем,we will
своей,his own
найти,find
стоит,costs
разве,really
тем,those
хотела,wanted
ага,yeah
можете,you can
лишь,only
деле,case
будешь,you will be
простите,Sorry
сам,myself
три,three
знал,knew
хотите,do you want
говорить,speak
действительно,really
скажи,Tell
совсем,at all
знает,knows
давайте,Let's
прошу,please
моего,my
дом,house
должно,should
несколько,some
какой,Which
свои,their
вами,you
дела,affairs
говорит,speaks
черт,crap
жаль,it's a pity
происходит,is happening
папа,dad
ваш,your
туда,there
про,about
завтра,Tomorrow
оно,it
уверен,sure
самом,itself
одна,one
тех,those
перед,before
отсюда,from here
наш,our
нее,her
свой,mine
нужна,needed
мою,mine
нужен,needed
каждый,every
кого,whom
работу,work
верно,right
твоей,yours
ж,and
будут,will be
итак,So
имя,Name
понял,Understood
пор,pores
уж,already
надеюсь,Hope
против,against
хватит,enough
пошли,went
более,more
говорю,I say
раньше,earlier
наверное,Maybe
ребята,Guys
твои,yours
ваша,yours
дай,give
при,at
могли,could
нами,us
вообще,at all
всю,all
мать,mother
понимаешь,understand
ко,ko
идти,go
этих,these
извините,Sorry
чём,how
ради,for the sake of
нельзя,it is forbidden
такая,such
хотя,Although
другой,another
виду,view
вижу,I see
откуда,where
мисс,Miss
видеть,see
послушай,listen
над,over
могут,can
думала,I thought
будто,as if
равно,equals
между,between
зовут,they call
подожди,Wait
скоро,soon
этому,to this
возьми,take it
наши,our
извини,I'm sorry
своего,his own
ясно,It's clear
человека,human
вопрос,question
года,years
вещи,things
минут,minutes
руки,hands
которая,which
почти,almost
смотри,Look
такие,such
могла,could
нормально,Fine
достаточно,enough
видишь,you see
работа,Job
пару,couple
ночь,night
дня,days
господи,God
говоришь,you say
весь,all
быстро,fast
жить,live
сын,son
хоть,at least
твою,yours
ваше,yours
посмотри,look
скажу,I'll tell you
убить,kill
слышал,heard
пора,it's time
готов,ready
собой,by yourself
имею,I have
первый,first
неё,her
самое,the most
видела,I saw
какая,which
смогу,I can
сказали,they said
плохо,Badly
миссис,Mrs.
рад,glad
месте,place
никаких,none
насчет,about
иногда,Sometimes
прав,right
нашли,found
отца,father
ваши,yours
детей,children
пусть,let
мое,my
своих,their own
знаем,we know
вроде,like
которую,which
пойду,I'll go
сделала,did
смерти,death
таким,like this
знала,knew
произошло,happened
говорила,spoke
собираюсь,going to
рядом,near
случае,case
одного,one
правильно,Right
увидеть,see
кем,by whom
мир,world
брат,Brother
пойти,go
такого,such
помощь,help
вчера,yesterday
делает,does
говорят,They say
одно,one
кроме,except
нашей,ours
здорово,Great
дверь,door
друга,friend
женщина,woman
убил,killed
будь,be
долго,for a long time
важно,important
номер,number
денег,money
хороший,good
вечером,In the evening
одну,one
проблемы,problems
вашей,yours
работать,work
твоего,yours
ночи,nights
проблема,problem
сама,herself
уверена,sure
нужны,needed
серьезно,seriously
машину,car
также,Also
тому,to that
последний,last
пять,five
вернуться,return
дальше,further
моих,mine
узнать,to know
права,rights
своим,your own
ночью,at night
дети,children
те,those
чувствую,feel
работает,works
давно,for a long time
моим,mine
чувак,dude
чёрт,crap
две,two
жена,wife
придется,will have to
опять,again
дорогая,Expensive
одной,one
думаете,do you think
помнишь,do you remember?
сначала,at first
глаза,eyes
утром,in the morning
стать,become
прекрасно,Wonderful
взять,take
парня,guy
идея,idea
часть,Part
ними,them
большой,big
сделали,done
видели,saw
сразу,straightaway
слова,words
помню,I remember
утро,morning
сердце,heart
